Composer,FirstName,LastName,MiddleName,Dates,DOB,DOD,Nationality,Nameofpiece,Duration (mins),Year,Instrumentation,Recording,Publisher,Score,Composer_website
Melody Eotvos,Melody,Eotvos,,b.1984,1984,0,Australian,The Leafcutter,,2001,"Clarinet, Vibraphone",,,,
Melody Eotvos,Melody,Eotvos,,b.1984,1984,0,Australian,Clarinet Sonata in F minor,,1977,Clarinet and Piano,,,,
Melody Eotvos,Melody,Eotvos,,b.1984,1984,0,Australian,Canon and Rhapsody,,,Clarinet and Piano,,,,
Miriam Hyde,Miriam,Hyde,,1913 - 2005,1913,2005,Australian,Tangled Rope ,,,Solo Clarinet,,,,
Miriam Hyde,Miriam,Hyde,,1913 - 2005,1913,2005,Australian,"Trio for Flute, Clarinet and Piano",,,"Flute, Clarinet and Piano",,,,
Miriam Hyde,Miriam,Hyde,,1913 - 2005,1913,2005,Australian,Concerto,,,Clarinet and Orchestra,,,,
Miriam Hyde,Miriam,Hyde,,1913 - 2005,1913,2005,Australian,The Kelpie Of Corrievreckan Op. 5b,,,Clarinet and piano,,,,
Rebecca Saunders,Rebecca,Saunders,,b.1967,1967,0,British (English),"Trio for oboe, clarinet and piano, op. 10",,,"oboe, clarinet and piano",,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Elephant God, op. 12e",,,clarinet and percussion,,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Quintet, op. 16",,,"oboe, clarinet, violin, viola, cello",,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Rhapsody in Eb, op. 23",,,Clarinet quintet (clarinet and string quartet),,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Sonata, op. 45",,,Clarinet and piano,,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Prelude, op. 51",,,Solo bass clarinet (or Bb clarinet),,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Seascape, op. 53",,,"2 flutes, oboe, cor anglais, 2 clarinets, 2 bassoons, 2 horns",,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"Octet, op. 65",,,"2 oboes, 2 clarinets, 2 bassoons, 2 horns",,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),"A Wealden Suite, op. 76",,,"Clarinet quartet (Eb, Bb, A and bass clarinets)",,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),A Prayer ,,,"Horn, Clarinet, Bass Clarinet, Bassoon, and Timpani",,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),Private Game,,,Clarinet and Cello,,,,
Ruth Gipps,Ruth,Gipps,,1921-1999,1921,1999,British (English),For an Actor: Monologue for Clarinet ,,,Solo Clarinet in A,,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Three Scenes,,,Solo Clarinet,,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,The Show Goes On,,,Clarinet and Orchestra,,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Apprehensions,,,"Voice, Clarinet in A and Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Birkat Haderekh – Blessing for the Road,,,"Clarinet, Violin, Cello and Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Birkat Haderekh – Blessing for the Road II,,,"Clarinet, Alto Sax, Violin, Cello, Percussion and Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Adonai Malach (Psalm 93),,,"Voice, Piccolo, Oboe, Clarinet and Horn",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Concerto Da Camera I,,,"Piccolo, English horn, Bass Clarinet, Horn, Contrabassoon",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Concerto Da Camera II,,,"Clarinet, Violin 1, Violin 2, Viola, Cello and Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Double Vision for Two Quintets and Piano,,,"Wind Quintet, Brass Quintet, Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Mirage,,,"Flute (picc, alto flute), Clarinet, Violin, Cello, Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,(experimental music),,,Clarinet and Chamber Orchestra,,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Clarinet Concerto,,,"Baritone, Clarinet and Piano",,,,
Shulamit Ran,Shulamit,Ran,,b. 1949,1949,0,Israeli American,Towards the Blue,,,"Clarinet, Cello and Piano",,,,
Sonja Mutic,Sonja,Mutic,,b.1984,1984,0,Serbian Croatian,Four Portraits,,,"Flute, Oboe and Clarinet",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Canta Canta,,,Clarinet and electronics,,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Chamber Concerto no. 2,,,"Clarinet, Violin and Piano",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Chamber Concerto no. 3,,,Clarinet and Piano,,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Impromptu no. 2 ,,,"Flute, Oboe, Clarinet, Bassoon, French Horn",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Narcissus,,,"Clarinet, Violin, Cello, Piano",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Pierrot,,,"Flute, Clarinet, Harp, Viola, Cello",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Threnody,,,"Flute (Alto Flute optional), Clarinet, Violin, Cello, and Piano",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Wind Quintet,,,"Clarinet, violin, cello, piano",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Ring Out Wild Bells,,,"Woodwind quintet and string quintet (flute, oboe, clarinet, bassoon, french horn, 2 violins, viola, cello)",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Serenade,,,"wind trio (flute, clarinet, bassoon)",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Freedmen of the Five Civilized Tribes,,,"flute, clarinet in Bb, piano, optional narrator",,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),Lenox Ave,,,Clarinet and piano,,,,
Thea Musgrave,Thea,Musgrave,,b. 1928,1928,0,British (Scottish),NONET,,,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Rubispheres,,,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Suite: Portraits of Langston,,,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Sonatine,,,"Wind quintet (flute, oboe, clarinet, bassoon, horn)",,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Afro-Cuban Concerto,,,Solo clarinet,,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Red Clay & Mississippi Delta,,,Solo Bass Clarinet,,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Tzigane,,,,,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Umoja,,,,,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,La Naissance d'un Papillon,,,,,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,Andante and Allegro,,,,,,,
Valerie Coleman,Valerie,Coleman,,b. 1970,1970,0,American,,,,,,,,
Yvonnes Desportes,Yvonnes,Desportes,,1907-1993,1907,1993,French,,,,,,,,
Yvonnes Desportes,Yvonnes,Desportes,,1907-1993,1907,1993,French,,,,,,,,
