Name of Composer,Dates,Nationality,Name of piece,Year,Duration (mins),Instrumentation - Ensemble type (instruments),Recording links,Publisher,Score link,Composer website,Biography,Bio_source
"Davies, Tansy",b.1973,British (English),Nightingales: Ultra Deep Field,2020,17,String Quartet,?,Faber,https://www.fabermusic.com/music/7418f5e9-3c2a-4c11-ae69-df5294bb52c7,https://tansydavies.com/,,
"Davies, Tansy",b.1973,British (English),gem,2022,4,Solo Cello,-,Faber,https://www.fabermusic.com/music/fe8fb90c-fced-40a9-b293-4d4e1a92bd95,https://tansydavies.com/,,
"Davies, Tansy",b.1973,British (English),Lullaby,2022,4.5,"Mezzo-Soprano, Clarinet, Violin, Cello, Piano",?,Faber,https://www.fabermusic.com/music/e42acb2d-aed9-4d3c-aba6-1a363e9a99ab,https://tansydavies.com/,,
"Davies, Tansy",b.1973,British (English),glider,2022,9,"Solo Bass Clarinet, Flute, Oboe, Bassoon, Horn, Trumpet, Trombone, Double Bass",,Faber,https://www.fabermusic.com/music/097d2701-b3c1-45a4-af45-6e0459f245a1,,,
"Davies, Tansy",b.1973,British (English),Yoik II,2021,7,Solo Flute,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Yoik,2020,8.5,French Horn,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Grand Mutation,2020,13,"Violin, Horn, Piano",,Faber,,,,
"Davies, Tansy",b.1973,British (English),Hawk,2018,2.5,Violin and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Song of Pure Nothingness,2015,13,Mezzo-Soprano or Countertenor and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Greenhouses,2011,3,"Voice, Alto Flute, Percussion, Double Bass",,Faber,,,,
"Davies, Tansy",b.1973,British (English),Aquatic,2011,10,Cor Anglais and Percussion,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Troubairitz,2010,17,Soprano and Percussion,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Forgotten Game 2,2009,6,Oboe and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),This Love,2009,2.5,Tenor and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Static,2009,2,Tenor and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Adorned,2008,10,"Bass Clarinet, Cimbalom, Harmonium, Strings",,Faber,https://www.fabermusic.com/music/adorned-5238,,,
"Davies, Tansy",b.1973,British (English),Destroying Beauty,2008,3,Voice and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),grind show (unplugged),2008,6,"Flute, Clarinet, Piano (Prepared), Violin, Cello",,Faber,,,,
"Davies, Tansy",b.1973,British (English),Forgotten Game,2008,6,Solo Oboe,,Faber,,,,
"Davies, Tansy",b.1973,British (English),grind show (electric),2007,6,"Flute, Clarinet, Piano (prepared & processed), Violin, Cello, Sampler",,Faber,,,,
"Davies, Tansy",b.1973,British (English),Dark Ground,2005,8,Solo Percussion,,Faber,,,,
"Davies, Tansy",b.1973,British (English),salt box,2005,11,"Bass Clarinet, Soprano Saxophone, Percussion, Electric Keyboard, Violin, Cello, Double Bass",,Faber,,,,
"Davies, Tansy",b.1973,British (English),neon,2004,10,"Bass Clarinet, Soprano Saxophone, Percussion, Electric Keyboard, Violin, Cello, Double Bass",,Faber,,,,
"Davies, Tansy",b.1973,British (English),inside out 2,2003,6,"Bass Clarinet, Bassoon, Horn, Piano, Violin, Viola, Cello",,Faber,https://www.fabermusic.com/music/inside-out-2-6645,,,
"Davies, Tansy",b.1973,British (English),Loopholes & Lynchpins,2003,10,Solo Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Arabescos,2002,8,Oboe and Piano,,Faber,,,,
"Davies, Tansy",b.1973,British (English),loure,2000,3,Solo Violin,,Faber,,,,
"Davies, Tansy",b.1973,British (English),Undertow,1999,6,"Flute, Clarinet, Violin, Cello, Piano",,Faber,,,,
"Decruck, Fernande",1896-1954,French,Cantilene,1933,4,Clarinet and Piano,https://www.youtube.com/watch?v=pKhhO1mQJPc,Billaudot,https://www.juneemersonwindmusic.com/CANTILENE-e817b357-53db-4a58-938f-f26bde7810ee.html,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Elégie Op. 42,1931,,Clarinet and Piano,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Arioso,1932,,Bass Clarinet and Piano,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Capriccio,1933,4.5,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=1Hj_4iTDP-0&list=OLAK5uy_nLclVCqReSd56t4BnUDEtMs-fzzcMFb3Q&index=2,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Six Duets,1934,,2 Clarinets,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Variations en trio sur l'air du P'tit Quinquin,1935,6.5,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=QYhhPZBEJFs&list=OLAK5uy_nLclVCqReSd56t4BnUDEtMs-fzzcMFb3Q&index=3,,https://fernandedecruck.com/compositions/variations-en-trio-sur-lair-du-ptit-quinquin-pour-hautbois-clarinette-et-basson/,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Orientales,1943,,"Oboe, Clarinet, Bassoon",,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Variations sur un air pyrénéen,1945,5,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=Wh1OLDDgIUA&list=OLAK5uy_nLclVCqReSd56t4BnUDEtMs-fzzcMFb3Q&index=4,,https://fernandedecruck.com/compositions/variations-sur-un-air-pyr%C3%A9n%C3%A9en-trio-pour-hautbois-clarinette-et-basson/,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Clarinet Concerto,1947,,Clarinet and Orchestra,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Chant Lyrique Op. 69,1947,7,Wind Quintet and Piano,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Pavane (version for trio),1949,3,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=4JpMisKtqCI&list=OLAK5uy_nLclVCqReSd56t4BnUDEtMs-fzzcMFb3Q&index=5,,https://fernandedecruck.com/compositions/pavane-version-for-trio-pour-hautbois-clarinette-et-basson/,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Recueillement,1949,,Clarinet and Piano,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Sonate (2e),1949,10,"Oboe, Clarinet, Bassoon",https://www.youtube.com/playlist?list=OLAK5uy_nLclVCqReSd56t4BnUDEtMs-fzzcMFb3Q,Billaudot,https://www.stretta-music.com/decruck-sonate-nr-796811.html,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Trio classique,,7,"Oboe, Clarinet, Bassoon",https://www.youtube.com/watch?v=aRz0_aWv3zo&list=OLAK5uy_nLclVCqReSd56t4BnUDEtMs-fzzcMFb3Q&index=4,,https://fernandedecruck.com/compositions/trio-classique-pour-hautbois-clarinette-et-basson/,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Boutade,,,Clarinet and Piano,,,,https://fernandedecruck.com/,,
"Decruck, Fernande",1896-1954,French,Frises,,,Clarinet Quartet (4 Clarinets),,,,https://fernandedecruck.com/,,
"Desportes, Yvonnes",1907-1993,French,La Naissance d'un Papillon,1977,10,Solo Clarinet,,,,,,
"Desportes, Yvonnes",1907-1993,French,Andante and Allegro,,6,Solo Bass Clarinet,,,,,,
"Desportes, Yvonnes",1907-1993,French,French Suite for 4 Clarinets,,10,4 Clarinets,https://www.youtube.com/watch?v=UA7HxBxHnh4,,,,,
"Drattell, Deborah",b.1954,American,"Clarinet Concert ""Fire Dances""",,,,,,,,,
"Eberhardt, Dorothee",b.1952,German,Campion,2000,12,"Bass Clarinet (or Clarinet), Piano",,Trio Music,,https://www.doroeberhardt.de/,,
"Eberhardt, Dorothee",b.1952,German,Neon,2012,11.5,Clarinet and Piano,https://www.youtube.com/watch?v=2ImnMe2bJpg,Klangmueller Musikverlag,,https://www.doroeberhardt.de/,,
"Eberhardt, Dorothee",b.1952,German,Pasitos,2005,16,Clarinet and Piano,http://www.doroeberhardt.de/werke/,,,https://www.doroeberhardt.de/,,
"Eberhardt, Dorothee",b.1952,German,Salamanca,2001,5.5,Solo Clarinet,https://www.youtube.com/watch?v=yTbC4f6a_84,"Vogt & Fritz, Schweinfurt",,https://www.doroeberhardt.de/,,
"Eberhardt, Dorothee",b.1952,German,Pas de Deux,2004,,Clarinet and Piano,,ABRSM Publishing,,https://www.doroeberhardt.de/,,
"Elwyn-Edwards, Dilys",1918-2012,British (Welsh),Three Songs,,6,"Soprano, Clarinet, Piano",https://soundcloud.com/tycerdd/sets/three-songs-dilys-elwyn-edwards,,,,,
"Esmail, Reena",b.1983,Indian American,Tasveer,2012,5,"Clarinet, Violin, Cello, Piano",https://www.reenaesmail.com/catalog-item/tasveer/,,https://www.reenaesmail.com/catalog-item/tasveer/,https://www.reenaesmail.com/,,
"Esmail, Reena",b.1983,Indian American,The Light is the Same,2017,9,"Flute, Oboe, Clarinet, Bassoon, Horn",,,https://www.reenaesmail.com/catalog-item/the-light-is-the-same/,https://www.reenaesmail.com/,,
"Eotvos, Melody",b.1984,Australian,The Three Alcids,2016,,Clarinet and Piano,https://open.spotify.com/track/1IXNAJTzmRI5YjfGkAIHhp?si=KqJ198d4Ta-tt6Yk9j6s7Q,,https://www.australianmusiccentre.com.au/workversion/eoetvoes-melody-three-alcids/34268,,,
"Eotvos, Melody",b.1984,Australian,The King in Yellow,2012,,"Flute/piccolo, Clarinet/Bass clarinet, violin, cello, percussion and piano",https://www.youtube.com/watch?v=jtILcK1QBwU,,https://www.australianmusiccentre.com.au/workversion/eoetvoes-melody-king-in-yellow/27213,,,
"Eotvos, Melody",b.1984,Australian,The Leafcutter,2012,,"Clarinet, Vibraphone",https://www.youtube.com/watch?v=6b1xMcHbGik,,https://www.australianmusiccentre.com.au/workversion/eoetvoes-melody-leafcutter/27240,,,
"Epstein, Marti",b.1959,American,Origami,,,Bass Clarinet and Marimba,,,,,,
"Etezady, Roshanne",b.1973,American,Bright Angel,2007,15,Clarinet and Piano,https://open.spotify.com/album/3NpfbYrObCFrkVSj2UMdKr?si=sS-ouYWeS5qGvjHzmRywWg,,http://roshanne.com/?page=store,http://roshanne.com/,,
"Etezady, Roshanne",b.1973,American,Glint,2007,5,Clarinet and Alto Saxophone,https://open.spotify.com/track/6rkCK22ZlY2b8bXVWfGfk9?si=8a962d87745240e6,,http://roshanne.com/?page=store,http://roshanne.com/,,
"Farrenc, Louise",1804-1875,French,Nonet op.38,1849,30,"Flute, Oboe, Clarinet, Bassoon, Horn, Violin, Viola, Cello, Double Bass",https://www.youtube.com/watch?v=Y3fYLF-TGYI,,"https://imslp.org/wiki/Nonet,_Op.38_(Farrenc,_Louise)",,,
"Farrenc, Louise",1804-1875,French,Sextet op.40,1852,24,"Flute, Oboe, Clarinet, Bassoon, Horn, Piano",https://www.youtube.com/watch?v=ihyOEO9shAo,,https://www.juneemersonwindmusic.com/SEXTET-in-C-minor-Op.40.html,,,
"Farrenc, Louise",1804-1875,French,Trio op.44,1856,27,"Clarinet, Cello, Piano",https://open.spotify.com/album/4oJtR0XATs2ZskA2RNcaHT?si=mg-XGDA5QmSohBheZzLcbw,,https://imslp.org/wiki/Trio_for_Clarinet_or_Violin%2C_Cello_and_Piano%2C_Op.44_(Farrenc%2C_Louise),,,
"Feigin, Sarah",1928-2011,Latvian,Reflections on a Niggun,1999,7,Clarinet and Piano,,Israel Music Centre,,,,
"Feigin, Sarah",1928-2011,Latvian,Fantasy for Two Clarinets and Piano,1999,4,2 Clarinets and Piano,https://www.youtube.com/watch?v=7FJezNkid1U,Israel Music Centre,,,,
"Feigin, Sarah",1928-2011,Latvian,Fantasia for Clarinet and String Quartet,2009,7,"Clarinet, 2 Violins, Viola, Cello",,Israel Music Centre,,,,
"Feigin, Sarah",1928-2011,Latvian,Fantasy for Clarinet and Piano,1996,5,Clarinet and Piano,https://www.youtube.com/watch?v=OPDZxXUXd_U,Israel Music Centre,http://www.israelcomposers.org/CompositionDetails.aspx?lang=English&id=851,,,
"Frances-Hoad, Cheryl",b.1980,British (English),Tales of the Invisible,2019,14,Clarinet Quintet (Clarinet and String Quartet),,Chester Music,https://www.musicroom.com/cheryl-frances-hoad-tales-of-the-invisible-chamber-musch88082,https://www.cherylfranceshoad.co.uk/,,
"Frances-Hoad, Cheryl",b.1980,British (English),Cloud Movements,2014,8,"Clarinet, Violin, Piano",,Cadenza Music,https://www.musicroom.com/cheryl-frances-hoad-cloud-movements-chamber-cazcfhclo01?clid=510&tduid=dbe5e6854b6c6df87194115517c0b5cb&utm_source=Music+Sales+Classical&utm_medium=affiliates,https://www.cherylfranceshoad.co.uk/,,
"Frances-Hoad, Cheryl",b.1980,British (English),Bouleumata,2008,4,Solo Clarinet,https://open.spotify.com/track/5ZkdTaqc1fBQzykrvul9Ne?si=0765c181c1384efe,Cadenza Music,https://www.musicroom.com/cheryl-frances-hoad-bouleumata-clarinet-solo-cazcfhbou01?clid=510&tduid=cab31b692594c7f6e8c24c437776ebb7&utm_source=Music+Sales+Classical&utm_medium=affiliates,https://www.cherylfranceshoad.co.uk/,,
"Frances-Hoad, Cheryl",b.1980,British (English),The Glory Tree,2005,15,"Soprano, Clarinet/Bass Clarinet, Violin, Cello, Piano",,,,,,
"Frances-Hoad, Cheryl",b.1980,British (English),Don't,2009,3,"Soprano, Piccolo, Bass Clarinet",,,,,,
"Fromm-Michaels, Ilse",1888-1986,German,Stimmungen eines Fauns,,,Clarinet and Piano,,,,,,
"Fujiie, Keiko",b.1963,Japanese,Three Pieces op.5,,,Solo Clarinet,,,,,,
"Gipps, Ruth",1921-1999,British (English),Concerto,1940,,Clarinet and Orchestra,,,,,,
"Gipps, Ruth",1921-1999,British (English),The Kelpie Of Corrievreckan Op. 5b,1939,,Clarinet and piano,https://www.youtube.com/watch?v=YRQTHhV6F44,,,,,
"Gipps, Ruth",1921-1999,British (English),"Trio for oboe, clarinet and piano, op. 10",1940,,"oboe, clarinet and piano",,,,,,
"Gipps, Ruth",1921-1999,British (English),"Elephant God, op. 12e",1940,,clarinet and percussion,,,,,,
"Gipps, Ruth",1921-1999,British (English),"Quintet, op. 16",1941,,"oboe, clarinet, violin, viola, cello",,,,,,
"Gipps, Ruth",1921-1999,British (English),"Rhapsody in Eb, op. 23",1942,,Clarinet quintet (clarinet and string quartet),https://www.youtube.com/watch?v=zUVZbS9mdmM,,,,,
"Gipps, Ruth",1921-1999,British (English),"Sonata, op. 45",1955,,Clarinet and piano,,,,,,
"Gipps, Ruth",1921-1999,British (English),"Prelude, op. 51",1958,,Solo bass clarinet (or Bb clarinet),,,,,,
"Gipps, Ruth",1921-1999,British (English),"Seascape, op. 53",1958,,"2 flutes, oboe, cor anglais, 2 clarinets, 2 bassoons, 2 horns",,,,,,
"Gipps, Ruth",1921-1999,British (English),"Octet, op. 65",1983,,"2 oboes, 2 clarinets, 2 bassoons, 2 horns",,,,,,
"Gipps, Ruth",1921-1999,British (English),"A Wealden Suite, op. 76",1991,,"Clarinet quartet (Eb, Bb, A and bass clarinets)",,,,,,
"Glanville Hicks, Peggy",1912-1990,Australian,Concertino da Camera,1954,16,"Flute, Clarinet, Bassoon, Piano",https://www.youtube.com/watch?v=uPhkZZwUjXg&feature=youtu.be,Australian Music Centre,https://www.australianmusiccentre.com.au/product/etruscan-concerto-piano-and-chamber-orchestra,,,
"Gotkovsky, Ida",b.1933,French,Images de Norvège,,,Clarinet and Piano,,,,http://www.gotkovsky.com/,,
"Gotkovsky, Ida",b.1933,French,Clarinet Sonata,,,Solo Clarinet,,,,,,
"Gotkovsky, Ida",b.1933,French,Clarinet Concerto,,,Clarinet and Orchestra (or Wind Band),,,,,,
"Gotkovsky, Ida",b.1933,French,Clarinet Quartet,,,3 Bb Clarinets (3rd clarinet doubling optional basset horn) and Bass Clarinet,,,,,,
"Gotkovsky, Ida",b.1933,French,Concerto Lyrique,,,Clarinet and Orchestra (or Wind Band),,,,,,
"Gotkovsky, Ida",b.1933,French,Chanson,,,Clarinet and Piano,,,,,,
"Gotkovsky, Ida",b.1933,French,Variations de Printemps,,,Clarinet and Piano,,,,,,
"Gotkovsky, Ida",b.1933,French,Trio,,,"Clarinet, Violin, Piano",,,,,,
"Gotkovsky, Ida",b.1933,French,Éolienne,,,Clarinet and Piano (or Harp),,,,,,
"Grandval, Marie (Clemence de Grandval)",1828-1907,French,Deux Pièces,1881,8,Clarinet and Piano,https://www.youtube.com/watch?v=lKjZNdskRXM,,,,,
"Grice, Janet",1955-2020,American,Hudson Views,,5,"Flute, Clarinet, Bassoon",https://www.reverbnation.com/fortunatatrio/songs,TrevCo,https://www.trevcomusic.com/products/tco-1554-grice-janet-hudson-views-sc-pts-fl-cl-bsn,,,
"Griebling, Mary Ann",b.1936,American,Wild Wood - Quiet Wood,?,9,Clarinet and Orchestra,https://soundcloud.com/user-472020674/wild-wood-quiet-wood-by-mary-ann-griebling,,,N/A,,
"Griebling, Mary Ann",b.1936,American,The Four Elements,1990,13,Clarinet and Piano,https://open.spotify.com/album/1Fixajdxyyx1AxeJ8ufVFY?si=Vb9OYrP4QJCc2vXeSqn-ew,,,N/A,,
"Grime, Helen",b.1981,British (Scottish),Embrace,2015,5,Trumpet and Clarinet,,,http://www.musicsalesclassical.com/composer/work/3953/54479#,,,
"Grime, Helen",b.1981,British (Scottish),Seven Pierrot Miniatures,2010,12,"Flute, Clarinet, Piano, Violin, Cello",,,https://www.musicroom.com/product/musch77913/helen-grime-seven-pierrot-miniatures-piano-chamber-group-piano-chamber.aspx?clid=510&tduid=33d4da43f4e8271a1391dbb2eff92e3c&utm_source=http%3A%2F%2Fwww.musicsalesclassical.com%2F+%28GB%29&utm_medium=affiliates,,,
"Grime, Helen",b.1981,British (Scottish),Snow and Snow,2012,9,"Clarinet, Viola, Piano",,,http://www.musicsalesclassical.com/composer/work/3953/47405,,,
"Grime, Helen",b.1981,British (Scottish),Clarinet Concerto,2009,16,Clarinet and Orchestra,,Chester Music,http://www.musicsalesclassical.com/composer/work/3953/45220,,,
"Grossner, Sonja",1942-2020,British (English),A Mother's Prayer,1999,15,"Mezzo Soprano voice, Flute, B flat Clarinet, French Horn, Piano, Violin, Viola (or 2nd Violin), Cello",,,https://sonjagrossner.musicaneo.com/sheetmusic/sm-199824_a_mother_s_prayer_written_for_my_mother_in_loving_memory.html,,,
"Gubaidulina, Sofia",b.1931,Russian,Hommage a T. S. Eliot,1987,40,"Soprano voice, Clarinet, Bassoon, String Quartet & Double Bass",Naxos,Boosey & Hawkes,,,,
"Harris Baiocchi, Regina",b.1956,American,Karibu,2007,3,Solo Clarinet,,,https://reginaharrisbaiocchi.com/wp-content/uploads/2015/07/Karibu-Clarinet-in-B-flat.pdf,https://reginaharrisbaiocchi.com/,,
"Harrison, Holly",b.0000,Australian,,,,,,,,,,
"Harrison, Sadie",b.1965,Australian,Nani ka itou,1993,10,"Soprano, Clarinet, Piano",https://soundcloud.com/sadie-harrison-composer/nani-ka-itou-ii-akikase-no,UYMP,Look on musicroom.com for these,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Little Gifts,1998,7,Soprano and Clarinet,,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,9 Breaths,2011,10,Clarinet and Piano,https://soundcloud.com/sadie-harrison-composer/9-breaths-for-clarinet-and,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Owl of the Hazels (Lazdynn Peleda),2005,7,Bass Clarinet and Piano,,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Bell Music for St Casimir,2004,2,Clarinet and Piano,,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Times for Flying,2000,9,2 Clarinets,,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Scathach (The Lady of Shadows),2005,6,4 Bass Clarinets,https://soundcloud.com/search?q=Sgathach,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,...and who now will wake the dead...?',2004,16,"Flute, Clarinet, Violin, Viola, Cello, Piano",,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,..it will pass..',2003,6,"Oboe/Cor Anglais, Clarinet (Eb/A), Viola, Harp",,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,The Fourteenth Terrace,2002,12,"Solo Clarinet (Eb/A), 2 Violins, Viola, Cello, Double Bass",,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,The Light Garden,2002,12,"Clarinet, Violin, Viola, Cello, Piano",https://soundcloud.com/sadie-harrison-composer/02-the-light-garden-first-part,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Sextet: 'in divers knottes..',1998,16,"Clarinet, Percussion, Piano, Violin, Viola, Cello",,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Quintet: 'No Title Required',1994,14,"Flute, Clarinet, Violin, Cello, Piano",https://soundcloud.com/sadie-harrison-composer/no-title-required-for-quintet,UYMP,,https://www.sadieharrisoncomposer.co.uk/,,
"Harrison, Sadie",b.1965,Australian,Suite Theo,,10,"Bass Clarinet, Bassoon, Piano",,UYMP,https://www.musicroom.com/sadie-harrison-suite-theo-chamber-ensemble-musm570202720?returnurl=%2fsearch%3fq%3dsadie%2bharrison%26categoryid%3d,https://www.sadieharrisoncomposer.co.uk/,,
"Heller, Barbara",b.1936,German,,,,,,,,,,
"Hemenway, Edith",b.1926,American,Question of Travel,2007,18,"Clarinet, Cello, Piano",https://open.spotify.com/album/0fBCnkpiixCUvTCgJ9MWtF?si=xzg0WR7STtqjOWw6Q_22UQ,,,,,
"Higdon, Jennifer",b.1962,American,DASH,2001,5,"Clarinet, violin, piano (version A) flute, clarinet, piano (version B) clarinet, soprano Saxophone, piano (version F)",Naxos,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Celestial Hymns,2000,11,"Clarinet, Violin, Viola, Cello, Piano",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Clarinet Sonata,2012,22,Clarinet and Piano,https://soundcloud.com/vdavisclarinet/jennifer-higdon-sonata-for-clarinet,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,A Gentle Notion,,2,Clarinet and Piano,,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Light Refracted,2002,20,"Clarinet, Violin, Viola, Cello, Piano",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Lullaby,1991,3,"Flute, Clarinet, Piano (Version G)",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Soliloquy,2004,7,"Clarinet and String Orchestra (Version B), Clarinet and String Quartet (Version C)",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Autumn Music,1995,13,"Flute, Oboe, Clarinet, Bassoon, Horn",Naxos,Lawdon Press,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Smash,2005,5,"Flute, Clarinet, Violin, Viola, Cello, Piano",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Summer Shimmers,2004,6,Piano and Wind Quintet,,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Wedding Hymn,1995,5,"Flute, Clarinet, Piano (Version C)",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,wissahickon poeTrees,1998,20,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Zaka,2003,15,"Flute, Clarinet, Violin, Cello, Piano, Percussion",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Higdon, Jennifer",b.1962,American,Zango Bandango,2003,4,"Flute, Clarinet, Violin, Cello, Piano, Marimba",,,http://jenniferhigdon.com/chamberworks.html,http://jenniferhigdon.com/,,
"Hodkinson, Juliana",b.1971,British (English),Inapparent Air and Aviary,2004,10,"Piccolo, Eb Clarinet, Trombone, Piano, Violin, Cello",,Wilhelm Hansen,http://www.musicsalesclassical.com/composer/work/3245/37519,https://www.julianahodkinson.net/,,
"Holmès, Augusta",1847-1903,French Irish,Fantaisie,1900,8,Clarinet and Piano,,,https://imslp.org/wiki/Fantaisie_(Holm%C3%A8s%2C_Augusta_Mary_Anne),,,
"Holmès, Augusta",1847-1903,French Irish,Molto Lento,,2,Clarinet and Piano,,,,,,
"Hong, Sungji",b.1973,Korean,Bisbiglio,2011,7,"Flute, Clarinet, Piano",https://youtu.be/_OB1-HCu7LU,Tetractys,https://www.tetractys.co.uk/photo_16916534.html,https://www.sungjihong.com/,,
"Hoover, Katherine",1937-2018,American,Images,1981,14,"Clarinet, Violin, Piano",,Papagena Press,,https://papagenapress.com/,,
"Hoover, Katherine",1937-2018,American,Set for Clarinet op.15,1978,10,Solo Clarinet,https://www.youtube.com/watch?v=gFFdGYtOd_Q,Helicon Music,,https://papagenapress.com/,,
"Hoover, Katherine",1937-2018,American,Ritual,1989,11,Clarinet and Piano,https://open.spotify.com/track/0zW2H9DfxO9jaxtaHusZfn?si=381f10fa4a9e412b,Carl Fischer,,https://papagenapress.com/,,
"Hoover, Katherine",1937-2018,American,Clarinet Concerto,1987,22,Clarinet and Orchestra,https://www.youtube.com/watch?v=4w_EGg4whfM,Theodore Presser,https://www.presser.com/114-40474-clarinet-concerto.html,,,
"Howard, Emily",b.1979,British (English),Masquerade,2009,5,Basset Clarinet and Piano,https://open.spotify.com/track/4XgsKkAf3BctxUQX3ppcR3?si=120f7d2f41614b5b,Edition Peters,https://editionpeters.com/product/masquerade/ep73324,https://www.emilyhoward.com/,,
"Howard, Emily",b.1979,British (English),Ada sketches,2011,7,"Mezzo-Soprano, Flute, Clarinet, Percussion",,Edition Peters,,https://www.emilyhoward.com/,,
"Howard, Emily",b.1979,British (English),Zugzwänge,2012,16,https://www.emilyhoward.com/work_detail/zugzwange.php,https://soundcloud.com/emily-howard-composer/zugzwaenge-quatuor-danel?utm_source=www.emilyhoward.com&utm_campaign=wtshare&utm_medium=widget&utm_content=https%253A%252F%252Fsoundcloud.com%252Femily-howard-composer%252Fzugzwaenge-quatuor-danel,Edition Peters,,https://www.emilyhoward.com/,,
"Howard, Emily",b.1979,British (English),Cloud Chamber,2006,6,Clarinet and Piano,,Edition Peters,https://www.editionpeters.com/product/cloud-chamber/ep73319,https://www.emilyhoward.com/,,
"Howe, Mary",1882-1964,American,Wind Quintet,1957,20,"Flute, Oboe, Clarinet, Bassoon, Horn",,,https://oboeclassics.com/~oboe3583/ambache/wHowe.htm#Wind%20Quintet,,,
